id_equipe,moyenne_buts_marques,moyenne_buts_encaisses
1,2.1964285714285716,0.9821428571428571
4,2.1052631578947367,1.0350877192982455
3,2.0,1.263157894736842
2,1.9310344827586208,0.896551724137931
8,1.8444444444444443,1.4666666666666668
5,1.8333333333333333,1.1458333333333333
17,1.75,1.4833333333333334
10,1.6744186046511629,1.4651162790697674
15,1.65,1.3833333333333333
6,1.631578947368421,1.2456140350877194
9,1.5581395348837208,1.186046511627907
12,1.5416666666666667,1.1875
16,1.4651162790697674,1.7209302325581395
11,1.4545454545454546,1.3863636363636365
7,1.4545454545454546,1.1818181818181819
14,1.1951219512195121,1.6829268292682926
13,1.1428571428571428,1.119047619047619
19,1.0952380952380951,2.0476190476190474
18,1.069767441860465,2.0697674418604652
20,0.8863636363636364,2.159090909090909
