id_equipe,nationalite,nb_joueurs
1,ENG,11
1,NED,3
1,ARG,1
1,SCO,1
1,COL,1
1,URU,1
1,ITA,1
1,FRA,1
1,NIR,1
1,HUN,1
1,POR,1
1,JPN,1
1,CZE,1
1,BRA,1
1,EGY,1
1,IRL,1
1,GRE,1
2,ENG,16
2,BRA,4
2,NED,2
2,ESP,2
2,ITA,2
2,NOR,1
2,ALB,1
2,GER,1
2,SCO,1
2,FRA,1
2,POL,1
2,GHA,1
2,UKR,1
2,WAL,1
2,BEL,1
2,IRL,1
2,JPN,1
3,ENG,14
3,POR,3
3,BRA,3
3,ESP,2
3,NOR,2
3,CRO,2
3,BEL,2
3,GER,2
3,BFA,1
3,NED,1
3,EGY,1
3,ARG,1
3,SUI,1
3,UZB,1
4,ENG,14
4,FRA,6
4,ESP,3
4,POR,3
4,ARG,2
4,BEL,1
4,UKR,1
4,ECU,1
4,ITA,1
4,SEN,1
4,SWE,1
4,DEN,1
5,ENG,18
5,SWE,2
5,BRA,2
5,SVK,1
5,PAR,1
5,ITA,1
5,IRL,1
5,GRE,1
5,SUI,1
5,NED,1
5,DEN,1
6,ENG,11
6,NED,4
6,FRA,3
6,ESP,3
6,POL,2
6,ARG,2
6,BEL,2
6,SCO,1
6,JAM,1
6,SWE,1
6,SRB,1
6,BRA,1
6,COL,1
6,AUS,1
7,ENG,7
7,BRA,4
7,WAL,2
7,NGA,2
7,CIV,2
7,NZL,1
7,PAR,1
7,SWE,1
7,GER,1
7,SRB,1
7,POR,1
7,IRL,1
7,BEL,1
7,ARG,1
7,ESP,1
8,ENG,13
8,IRL,5
8,NED,4
8,PAR,2
8,BRA,2
8,ECU,2
8,SWE,1
8,GER,1
8,DEN,1
8,ARG,1
8,CIV,1
8,CMR,1
8,FRA,1
8,GHA,1
8,POL,1
8,NIR,1
8,GAM,1
8,JPN,1
8,TUR,1
8,SCO,1
9,ENG,13
9,WAL,2
9,SCO,2
9,ESP,2
9,USA,2
9,ARG,2
9,BRA,2
9,IRL,1
9,GHA,1
9,HUN,1
9,NED,1
9,MEX,1
9,CIV,1
9,DEN,1
9,CAN,1
9,MSR,1
9,UKR,1
9,TUR,1
9,COL,1
9,BFA,1
10,ENG,9
10,DEN,4
10,NED,2
10,NGA,2
10,BRA,2
10,GER,2
10,NOR,1
10,POR,1
10,CMR,1
10,ITA,1
10,IRL,1
10,TUR,1
10,JAM,1
10,USA,1
10,SCO,1
10,ISL,1
10,COD,1
10,WAL,1
10,UKR,1
10,KOR,1
11,ENG,8
11,BRA,4
11,ESP,2
11,GER,2
11,NGA,2
11,BEL,1
11,MEX,1
11,NED,1
11,USA,1
11,SRB,1
11,WAL,1
11,DEN,1
11,NOR,1
11,FRA,1
11,SCO,1
12,ENG,19
12,FRA,4
12,USA,2
12,COL,2
12,GHA,2
12,MAR,1
12,SEN,1
12,MLI,1
12,JPN,1
12,BRA,1
12,NIR,1
12,DEN,1
12,IRL,1
13,ENG,16
13,SEN,2
13,IRL,2
13,POR,2
13,ARG,1
13,FRA,1
13,GER,1
13,BIH,1
13,GNB,1
13,BEL,1
13,SCO,1
13,NED,1
13,UKR,1
13,DEN,1
13,ALB,1
13,JAM,1
13,MLI,1
14,ENG,9
14,BRA,2
14,FRA,2
14,CZE,2
14,IRL,1
14,COD,1
14,MEX,1
14,BRB,1
14,GHA,1
14,POL,1
14,ARG,1
14,NED,1
14,ITA,1
14,GER,1
14,SCO,1
14,JAM,1
14,GRE,1
14,ESP,1
15,ENG,16
15,DEN,4
15,NED,3
15,NIR,2
15,POR,2
15,BRA,2
15,ARG,2
15,MLI,1
15,CIV,1
15,URU,1
15,MAR,1
15,SWE,1
15,SCO,1
15,CMR,1
15,FRA,1
15,POL,1
15,TUR,1
16,POR,8
16,ENG,8
16,BRA,4
16,ZIM,2
16,ALG,1
16,URU,1
16,GAB,1
16,IRL,1
16,COL,1
16,FRA,1
16,HAI,1
16,NOR,1
16,MLI,1
16,unknown,1
16,WAL,1
16,BFA,1
16,KOR,1
16,CIV,1
16,ESP,1
17,ENG,17
17,SWE,2
17,KOR,2
17,ESP,2
17,ITA,2
17,FRA,2
17,WAL,2
17,URU,1
17,SEN,1
17,MLI,1
17,GER,1
17,CZE,1
17,AUT,1
17,ARG,1
17,ROU,1
17,JAM,1
17,BRA,1
17,NED,1
18,ENG,13
18,DEN,4
18,unknown,3
18,GHA,2
18,IRL,2
18,FRA,2
18,BAN,1
18,ARG,1
18,BEL,1
18,ZAM,1
18,MLI,1
18,POL,1
18,NGA,1
18,POR,1
18,ITA,1
18,JAM,1
18,MAR,1
18,WAL,1
19,ENG,18
19,IRL,4
19,SCO,2
19,WAL,2
19,AUS,2
19,PAR,1
19,COD,1
19,SWE,1
19,IRQ,1
19,KVX,1
19,unknown,1
19,EGY,1
20,ENG,18
20,IRL,3
20,SCO,2
20,NGA,2
20,FRA,2
20,ARG,1
20,JPN,1
20,GER,1
20,GHA,1
20,DEN,1
20,POR,1
20,CHI,1
20,unknown,1
20,CIV,1
20,POL,1
20,BRA,1
